CCIndex	x	y	area	aux	cuc
32592	22.8861	10.2751	21.5424	1.40867	0
25231	-10.7295	12.8941	33.6125	13.8483	0
28604	-0.993538	-14.5743	29.2946	23.0448	0
29473	8.82764	24.9799	25.5301	7.10349	0
24529	1.60404	34.648	31.2048	0.101914	0
29184	-18.219	-10.0672	25.7902	1.78009	0
26989	-0.157765	-32.4351	37.039	0.140444	0
23845	-5.31049	16.7288	36.8646	2.89144	0
10654	29.1594	10.9558	36.9571	0.146634	0
23190	18.08	-27.4119	28.5825	0.102716	0
17471	4.5831	-30.1753	39.9863	0.167942	0
22954	-6.67732	-27.5386	35.722	0.663516	0
10145	7.90655	-7.7294	45.9637	2.22175	0
30378	-20.3349	26.1509	26.2665	0.179803	0
30989	2.21949	-9.40288	25.5898	4.64346	0
29765	-3.82874	-5.81961	28.4354	1.2217	0
9975	-28.4852	-17.708	48.0742	0.183429	0
24760	33.0066	1.41767	32.5893	0.105454	0
27514	24.2981	-12.2084	28.0554	0.282572	0
26213	-36.8764	1.94293	31.3987	0.105697	0
14341	12.0171	12.4433	43.7404	3.01799	0
26729	-2.19765	3.03407	28.683	0.174767	0
11320	-13.0293	-14.2251	40.0186	2.24045	0
28053	12.7603	20.3275	29.6396	8.08669	0
24993	24.4321	15.7672	38.4912	0.235394	0
27249	0.7198	-21.2357	32.3862	10.2852	0
31945	-19.6765	-4.22475	19.459	3.82843	0
10307	-20.7804	17.2874	46.738	0.987662	0
31626	-16.3456	-19.5661	27.3747	0.698568	0
30077	12.5107	32.6914	30.2887	0.120008	0
13974	5.78215	10.4135	46.7686	0.593984	0
31299	7.774	-14.8961	27.7517	6.38946	0
23162	24.7102	1.03696	43.9921	13.4507	0
23176	26.2388	-6.3664	32.5873	2.7848	0
15051	12.0339	-28.3589	44.2196	0.146188	0
25963	-21.3499	4.74739	37.7373	22.4473	0
23404	-24.8867	10.301	45.8031	2.0598	0
15079	-29.828	15.8317	44.2443	0.159834	0
15065	17.8919	5.66395	48.5893	3.68889	0
24298	8.64795	2.83327	36.6767	0.201569	0
24070	-1.29218	27.6241	38.4316	0.535735	0
23623	23.0046	23.5727	33.2123	0.114736	0
22749	-0.73566	21.636	42.1699	4.20794	0
17457	-14.5986	-26.0059	38.6542	0.325936	0
25472	-9.10025	2.6575	33.4795	2.98114	0
26463	-20.5143	-25.0199	34.7019	0.157007	0
25716	22.3532	-17.1643	25.262	0.135763	0
26715	-15.4873	9.08864	34.0764	47.3355	0
29779	12.1455	-5.30611	29.4925	4.9339	0
27782	-10.5314	22.3524	37.7204	0.629608	0
28327	-14.9621	3.93301	29.4783	33.2301	0
28884	15.136	25.2048	31.5736	0.545069	0
28898	-9.80059	-3.75209	29.1828	1.485	0
9671	-9.37716	29.5125	46.4256	0.22035	0
9821	18.5883	-7.20922	49.476	20.9423	0
32920	-28.2937	-10.271	24.2552	0.466407	0
